run_id,site_id,battery_id,period_id,money_spent,money_no_batt,score
12_2_4,12,2,4,26.145761045779253,39.579554626509236,-0.339412449369312
12_2_5,12,2,5,10.73595663851774,16.66495277286099,-0.3557763538339375
12_2_6,12,2,6,7.936958681394647,14.423816940225228,-0.4497324311389443
12_2_7,12,2,7,11.43354051274444,17.60575911472365,-0.350579521266845
12_2_8,12,2,8,13.594594490882004,18.421523780786224,-0.2620266025408137
12_2_9,12,2,9,55.572966669223014,68.62201969360943,-0.19015839351055472
12_2_10,12,2,10,25.944035458124084,38.76858354603041,-0.33079743738069733
12_2_11,12,2,11,7.161887209670519,12.86648583875787,-0.44336881885054574
12_2_12,12,2,12,3.0813994657313297,9.290659754529468,-0.6683336224610897
12_2_13,12,2,13,14.158943625623165,18.590921718243635,-0.23839474770480495
12_2_14,12,2,14,30.577979100242583,41.125759170536504,-0.256476239783328
12_2_15,12,2,15,21.143047019445206,32.26772126217771,-0.3447616939648038
29_1_1,29,1,1,1220.9536063356454,1337.1608118793572,-0.08690593121734139
29_1_2,29,1,2,663.4663676301416,815.411535452876,-0.18634169522552163
29_1_3,29,1,3,663.353424252726,798.5928898870684,-0.16934719473080592
29_1_4,29,1,4,720.5436786209008,872.0759436594008,-0.17376040027275727
29_1_5,29,1,5,1165.457009053076,1249.3753046970542,-0.0671682042445416
29_1_6,29,1,6,1181.7164646473052,1261.5666277561809,-0.06329444783340296
29_1_7,29,1,7,502.6048440782693,655.858549991836,-0.23366883898284826
29_1_8,29,1,8,638.1717969430891,784.7856274902967,-0.18682022887711508
29_1_9,29,1,9,757.4891560309284,903.7902602797222,-0.1618750618130293
29_1_10,29,1,10,1392.5876233848173,1446.9008650429716,-0.037537638528221666
29_1_11,29,1,11,1342.8800600080456,1463.010065591161,-0.08211153730823739
29_1_12,29,1,12,779.3758618945529,936.1379026781833,-0.16745614116803959
29_1_13,29,1,13,688.3657287641612,840.0346916661983,-0.18055083249145776
29_1_14,29,1,14,1134.760017313388,1253.9792559564003,-0.09507273591386854
29_1_15,29,1,15,1458.6298606436987,1503.5444458078896,-0.029872469210617304
29_1_16,29,1,16,795.1626987305751,929.3933931110722,-0.14442828556287693
29_1_17,29,1,17,1588.389158288785,1623.8690107884788,-0.021848962117003753
29_1_18,29,1,18,1859.020085049323,1878.510291811499,-0.01037535266489337
29_1_19,29,1,19,1043.6982723897534,1184.6744053231891,-0.11899989760897747
29_2_1,29,2,1,1212.7371155993876,1337.1608118793572,-0.09305066015589715
29_2_2,29,2,2,585.4240792810676,815.411535452876,-0.28205077580129445
29_2_3,29,2,3,645.6284157190004,798.5928898870684,-0.19154249443630686
29_2_4,29,2,4,695.7686674036207,872.0759436594008,-0.20216963618553715
29_2_5,29,2,5,1155.4187963034392,1249.3753046970542,-0.07520278977852643
29_2_6,29,2,6,1183.8938278221513,1261.5666277561809,-0.06156852775360606
29_2_7,29,2,7,384.50782807533704,655.858549991836,-0.4137336044790095
